strain_i,strain_j,meta_r,clade_i,clade_j,pair_type
AKI,BCK,0.037004737622502004,M3. Mosaic region 3,10. French Guiana human,Different clade
AKI,BDB,0.035349980073336305,M3. Mosaic region 3,M2. Mosaic region 2,Different clade
AKI,BDP,0.06703945293225365,M3. Mosaic region 3,10. French Guiana human,Different clade
AKI,BEF,0.0842881696664875,M3. Mosaic region 3,26. Asian fermentation,Different clade
AKI,BFH,0.010161489527158618,M3. Mosaic region 3,5. French dairy,Different clade
AKI,BFP,0.07724630685327981,M3. Mosaic region 3,4. Mediterranean oak,Different clade
AKI,BGD,0.007131837737079357,M3. Mosaic region 3,5. French dairy,Different clade
AKI,BGF,0.012775236233624731,M3. Mosaic region 3,5. French dairy,Different clade
AKI,BHG,0.038157562442681536,M3. Mosaic region 3,M2. Mosaic region 2,Different clade
AKI,BHK,0.05396040582004299,M3. Mosaic region 3,M1. Mosaic region 1,Different clade
AKI,BHM,0.018005254710804476,M3. Mosaic region 3,M1. Mosaic region 1,Different clade
AKI,BHQ,0.0502611779667943,M3. Mosaic region 3,26. Asian fermentation,Different clade
AKI,BMA,0.03799723390972691,M3. Mosaic region 3,19. Malaysian,Different clade
AKI,BMB,0.06794622139570751,M3. Mosaic region 3,19. Malaysian,Different clade
AKI,BMC,0.02326457095758355,M3. Mosaic region 3,19. Malaysian,Different clade
AKI,BNC,0.05637870857895938,M3. Mosaic region 3,10. French Guiana human,Different clade
AKI,BNV,0.009120045331186103,M3. Mosaic region 3,1. Wine/European,Different clade
AKI,BQM,0.021015281187064062,M3. Mosaic region 3,1. Wine/European,Different clade
AKI,BVG,0.03169905179544044,M3. Mosaic region 3,3. Brazilian bioethanol,Different clade
AKI,CAE,0.06552244569936323,M3. Mosaic region 3,1. Wine/European,Different clade
AKI,CBN,0.06788349914889032,M3. Mosaic region 3,7. Mosaic beer,Different clade
AKI,CCD,0.05800155751645351,M3. Mosaic region 3,21. Ecuadorean,Different clade
AKI,CCG,0.041491698314452395,M3. Mosaic region 3,21. Ecuadorean,Different clade
AKI,CCN,0.04542133828758904,M3. Mosaic region 3,18. Far East Asia,Different clade
AKI,CCQ,0.0516667040062021,M3. Mosaic region 3,18. Far East Asia,Different clade
AKI,CCR,0.0658206055873092,M3. Mosaic region 3,18. Far East Asia,Different clade
AKI,CCS,0.09947563103102214,M3. Mosaic region 3,18. Far East Asia,Different clade
AKI,CCV,0.07247497973402155,M3. Mosaic region 3,24. Asian islands,Different clade
AKI,CDE,0.07322080599437544,M3. Mosaic region 3,M3. Mosaic region 3,Same clade
AKI,CDL,0.04855011650037767,M3. Mosaic region 3,18. Far East Asia,Different clade
AKI,CDT,0.04643269361311441,M3. Mosaic region 3,2. Alpechin,Different clade
AKI,CEG,0.04746447628039833,M3. Mosaic region 3,17. Taiwanese,Different clade
AKI,CFF,0.10375707966718459,M3. Mosaic region 3,7. Mosaic beer,Different clade
AKI,CGL,0.025643930032947026,M3. Mosaic region 3,26. Asian fermentation,Different clade
AKI,CGN,0.06145677895433994,M3. Mosaic region 3,26. Asian fermentation,Different clade
AKI,CGS,0.04153781459017975,M3. Mosaic region 3,1. Wine/European,Different clade
AKI,CLB,0.04986423590435697,M3. Mosaic region 3,4. Mediterranean oak,Different clade
AKI,CLI,0.02012652990956339,M3. Mosaic region 3,25. Sake,Different clade
AKI,CLN,0.04033861662254861,M3. Mosaic region 3,25. Sake,Different clade
AKI,CLP,0.03411557287705161,M3. Mosaic region 3,25. Sake,Different clade
AKI,CMI,0.03121307747031725,M3. Mosaic region 3,25. Sake,Different clade
AKI,CPI,0.058990469640781105,M3. Mosaic region 3,9. Mexican agave,Different clade
AKI,CPK,0.06346556712967331,M3. Mosaic region 3,9. Mexican agave,Different clade
AKI,CPN,0.08483312697946467,M3. Mosaic region 3,9. Mexican agave,Different clade
AKI,CQD,0.05073021080641972,M3. Mosaic region 3,12. West African cocoa,Different clade
AKI,CQF,0.07421192513891575,M3. Mosaic region 3,12. West African cocoa,Different clade
AKI,SACE_YCE,0.018605536963359533,M3. Mosaic region 3,M3. Mosaic region 3,Same clade
