"gene","correlation","cor_category","mean_expr_bulk","mean_expr_sc","log_mean_expr"
"YDR005C",0.152768762169953,"low (<0.4)",50.806518575016,13.2030956644585,5.6950617318759
"YDR006C",0.1227343207151,"low (<0.4)",49.262887589356,28.7717554888294,5.65142165092838
"YDR007W",0.110513183246222,"low (<0.4)",46.9737484771363,30.1133068637004,5.58417326526049
"YDR009W",0.676369389860409,"moderate (0.4-0.7)",13.7804626006811,7.59206807935366,3.88561951871949
"YDR011W",0.268115283999422,"low (<0.4)",62.6652461300534,46.3718704647545,5.99243413740898
"YDR034C",0.340760630815307,"low (<0.4)",44.5795241543042,21.3010970095105,5.51031395797655
"YDR046C",0.157742159417961,"low (<0.4)",133.105550951225,27.5899438490794,7.06722514486991
"YDR051C",0.115380160338363,"low (<0.4)",88.7999384395058,28.6115067786212,6.48864255084432
"YDR052C",0.0557438220854972,"low (<0.4)",43.8903276532529,17.9013265109418,5.48833272137022
"YDR054C",0.0908525644249538,"low (<0.4)",144.163816235514,15.2390191256592,7.1815380794511
"YDR056C",0.185561541370874,"low (<0.4)",198.562358031805,74.8017881373237,7.64069581124058
"YDR057W",-0.131742331442281,"low (<0.4)",32.6994590836127,8.49136580194014,5.07465352950956
"YDR058C",0.254297244351502,"low (<0.4)",43.4511381835226,5.35141210528712,5.47414845501554
"YDR059C",0.526499924095035,"moderate (0.4-0.7)",51.6331558437267,22.6557690769762,5.71789999520155
"YDR100W",0.292239679638688,"low (<0.4)",103.336927651115,20.2482868360996,6.70510604667586
"YDR101C",-0.00520347015513552,"low (<0.4)",89.0656484652506,24.9186868377083,6.49290505399359
"YDR103W",0.82822663181428,"high (>=0.7)",6.09647989921729,2.4519792863687,2.82710357514213
"YDR212W",0.2405592547028,"low (<0.4)",135.247532931297,59.2281066909305,7.09008629665506
"YDR222W",0.424123584645511,"moderate (0.4-0.7)",66.9194839714886,33.7832913107375,6.08575359272704
"YDR223W",0.138599934680197,"low (<0.4)",24.9135506411817,5.07245824192023,4.69563480015721
"YDR226W",0.301064325981844,"low (<0.4)",733.852496679432,286.212542839931,9.52131088371686
"YDR227W",0.0495359194115759,"low (<0.4)",21.5603149485318,15.4180949710913,4.49571530320533
"YDR251W",0.205125522308653,"low (<0.4)",69.6330606942696,29.7629596923779,6.14227170806449
"YDR257C",0.0679404123903545,"low (<0.4)",42.9325518630569,16.6778132477594,5.45721839703262
"YDR258C",0.168866350165465,"low (<0.4)",315.478739842021,32.7305862155369,8.30596477645934
"YDR260C",0.699085752943079,"moderate (0.4-0.7)",45.1490198587827,15.7349245680596,5.52822810224076
