"gene","name","n_strains_fit","mean_r2","median_r2","sd_r2","mean_amp","sd_amp","cv_amp","amp_range","mean_peak","sd_peak","n_strains_total","n_not_detected","pct_strains_detected","mean_pct_expressed","sd_r2_null_mean","sd_r2_z","sd_r2_p","cv_amp_null_mean","cv_amp_z","cv_amp_p","sd_peak_null_mean","sd_peak_z","sd_peak_p","sd_r2_p_fdr","cv_amp_p_fdr","sd_peak_p_fdr","r2_adj_pooled","cycles","sig_any","class","which_phenotype","peak_spread_min","amp_spread"
"YDR077W","SED1",74,0.338745109681914,0.356171737877145,0.141228286804756,1.36195064326982,0.549201539501972,0.403246286652083,2.40876577078359,0.345915905553397,7.85670589504469,74,0,1,0.761728781709991,0.0733620268987883,8.46060019632471,0.00199600798403194,0.192876282054614,7.83851954772425,0.00199600798403194,2.94916189475128,5.24875909599177,0.00199600798403194,0.029815369261477,0.0100430717512344,0.0164498589028839,0.251404323316749,TRUE,TRUE,"cycling, varies between strains","structure amplitude timing",7.85670589504469,2.40876577078359
"YLR045C","STU2",74,0.13415586156333,0.129146210827916,0.068225792769104,0.365020891847579,0.138311959582199,0.378915187243455,0.850852549668402,40.4630963299891,7.59949379504436,74,0,1,0.270216097713749,0.0560692800497661,1.57146011665013,0.0738522954091816,0.274230734627636,2.93872771165138,0.00399201596806387,6.96885399257124,0.949240307237343,0.165668662674651,0.26149183115251,0.0160351565776011,0.320574850299401,0.12078076425492,TRUE,TRUE,"cycling, varies between strains","amplitude",7.59949379504436,0.850852549668402
"YPR156C","TPO3",74,0.138454552561864,0.133422915313349,0.0636753001868746,0.265700718185563,0.101548895066689,0.382192775993056,0.492571078132245,75.3489672830669,7.37422806394757,74,0,1,0.222048230504228,0.0678269589267449,-0.435720349227253,0.640718562874252,0.291180785126148,2.67453789486982,0.00399201596806387,5.81983420992969,2.0205863850373,0.0279441117764471,0.761849435457443,0.0160351565776011,0.0947325207740547,0.129233302876211,TRUE,TRUE,"cycling, varies between strains","amplitude",7.37422806394757,0.492571078132245
"YJL078C","PRY3",74,0.305121633614035,0.322805703685995,0.114991373634689,0.652344405209757,0.259904460302566,0.398416018021945,1.10595443894115,13.0285781763269,7.26686147481316,74,0,1,0.352145317882869,0.0889939222293032,2.77406076400593,0.00598802395209581,0.210599657479695,6.79833410121415,0.00199600798403194,2.2481428623464,11.990752138043,0.00199600798403194,0.0561230480216039,0.0100430717512344,0.0164498589028839,0.282019749964905,TRUE,TRUE,"cycling, varies between strains","amplitude timing",7.26686147481316,1.10595443894115
"YKR042W","UTH1",74,0.342566989065211,0.360247331170242,0.123402685500378,1.05642980156199,0.347574060963577,0.329008193871159,1.92484271473025,82.7067862576266,7.18046214643805,74,0,1,0.702160977137488,0.0773622534856351,5.65653928495696,0.00199600798403194,0.155681986452999,7.99381465472819,0.00199600798403194,3.08406260665529,8.17364916623583,0.00199600798403194,0.029815369261477,0.0100430717512344,0.0164498589028839,0.298193479626239,TRUE,TRUE,"cycling, varies between strains","structure amplitude timing",7.18046214643805,1.92484271473025
"YPR175W","DPB2",74,0.108517856039293,0.107265005195764,0.0702267571679536,0.14575989151449,0.0735020936265728,0.504268306341777,0.321712772120528,22.1100276541105,7.14728647818714,74,0,1,0.106482931412465,0.0673174509763053,0.340232919522935,0.31936127744511,0.374797336895428,3.11649201505704,0.00399201596806387,4.36681583490042,4.16767362193793,0.00399201596806387,0.505479108009147,0.0160351565776011,0.0265025504546463,0.11308916006113,TRUE,TRUE,"cycling, varies between strains","amplitude",7.14728647818714,0.321712772120528
"YOR247W","SRL1",74,0.423915810258285,0.451555437377604,0.100826972263993,1.34557492784721,0.324817059212025,0.24139648598514,1.98860959082944,36.0312170225747,6.99984149000616,74,0,1,0.78703413717507,0.0767489600478753,2.80568679788347,0.00598802395209581,0.128492799683298,6.12082398083962,0.00199600798403194,3.18889417960302,3.92323562011106,0.00199600798403194,0.0561230480216039,0.0100430717512344,0.0164498589028839,0.383741482169279,TRUE,TRUE,"cycling, varies between strains","amplitude timing",6.99984149000616,1.98860959082944
"YGR041W","BUD9",74,0.169087051517282,0.166709577776321,0.0888379882644799,0.199276793868734,0.100068257562333,0.502157103291464,0.411751152608484,14.2847087278472,6.95366354528034,74,0,1,0.126526777325399,0.07973475460831,1.03001378063172,0.149700598802395,0.332998257154391,4.34584064984608,0.00399201596806387,3.14896212439307,5.56632747183214,0.00199600798403194,0.37052109373486,0.0160351565776011,0.0164498589028839,0.173499905728791,TRUE,TRUE,"cycling, varies between strains","amplitude",6.95366354528034,0.411751152608484
"YOR315W","SFG1",74,0.20278726959591,0.22008617672499,0.0968603375732709,0.463385545658658,0.129897973584246,0.280323749416069,0.647671124893877,66.4510762733989,6.6609548389284,74,0,1,0.321954274976511,0.0700088457230025,3.26242049243535,0.00199600798403194,0.197839397595372,2.9993858313436,0.00399201596806387,5.15332767183661,2.97252825954977,0.00798403193612774,0.029815369261477,0.0160351565776011,0.0410362071555813,0.206572472120998,TRUE,TRUE,"cycling, varies between strains","structure amplitude timing",6.6609548389284,0.647671124893877
"YHR023W","MYO1",74,0.141782564966599,0.138879965238255,0.0754621284106553,0.346704616291707,0.123718776438388,0.356842022358001,0.653405672097931,73.4905229989371,6.65629335525331,74,0,1,0.28343250861259,0.0662819675585983,1.10151332986615,0.147704590818363,0.269725748735519,2.49829585350972,0.00798403193612774,6.33799324331109,0.498987052181961,0.321357285429142,0.37052109373486,0.0265025504546463,0.484570291593469,0.137401509589179,TRUE,TRUE,"cycling, varies between strains","amplitude",6.65629335525331,0.653405672097931
