"gene","name","n_strains_fit","mean_r2","median_r2","sd_r2","mean_amp","sd_amp","cv_amp","amp_range","mean_peak","sd_peak","n_strains_total","n_not_detected","pct_strains_detected","mean_pct_expressed","sd_r2_null_mean","sd_r2_z","sd_r2_p","cv_amp_null_mean","cv_amp_z","cv_amp_p","sd_peak_null_mean","sd_peak_z","sd_peak_p","sd_r2_p_fdr","cv_amp_p_fdr","sd_peak_p_fdr"
"YGL037C","PNC1",74,0.0367703009353209,0.0196283228360981,0.0591005764186142,0.132596515934147,0.164937492360455,1.24390517502263,0.669101172782111,6.23961216485734,17.8360605392395,74,0,1,0.42380206702161,0.0445288358291558,1.7483901917594,0.0598802395209581,1.36550574948279,-0.931635933055831,0.818363273453094,15.8661575999952,1.24843543754197,0.115768463073852,0.238522954091816,0.865437267058803,0.263511073091911
"YNL327W","EGT2",74,0.46838191660623,0.485917437856285,0.128007863607187,0.739194710213133,0.252036253709836,0.340960575376907,1.27390503373899,9.35687942896638,1.94401372660183,74,0,1,0.196930786094582,0.0948467075831202,3.34987733704662,0.00199600798403194,0.182531576816078,7.13521562968073,0.00199600798403194,1.09040194320343,2.6171226804924,0.0219560878243513,0.029815369261477,0.0100430717512344,0.0801145800003047
"YFR015C","GSY1",70,0.0126100026664078,0.000295743221712941,0.0403518467610505,0.0169655738518904,0.0319153936664932,1.88118562596909,0.160252903542819,37.6856850865949,28.799615263089,74,4,0.945945945945946,0.0260569996868149,0.0337311884045265,0.602851161765878,0.205588822355289,1.83469413318895,0.130668368174384,0.385229540918164,25.890282570436,1.11347413459615,0.127744510978044,0.416404479177239,0.487142117880641,0.281391134781129
"YKL116C","PRR1",74,0.0356602865499274,0.0263741628393578,0.0436753357556039,0.0443850412456699,0.0486939606187932,1.09708044089164,0.209424461087225,11.0747792255722,13.3421878090654,74,0,1,0.0788600062637018,0.0473684881681201,-0.426616206675832,0.616766467065868,0.961422767231289,1.32141399512089,0.0918163672654691,10.8282936324672,1.83701977717483,0.0339321357285429,0.748259825526612,0.17415961727339,0.108130405854957
"YOR317W","FAA1",74,0.0145915128764023,0.0108440599275094,0.0305352110972622,0.0581690726303534,0.0600490017605692,1.03231836172053,0.232725835608954,46.8240653284381,15.5655842443572,74,0,1,0.209082367679298,0.0390537179575028,-0.976779097730284,0.868263473053892,1.16705643017299,-1.22642977756558,0.900199600798403,15.8599704084894,-0.243037228180254,0.592814371257485,0.904204662570284,0.935424802568775,0.732209998607436
"YNL173C","MDG1",74,0.0451667989156388,0.0388754895148947,0.055021097820805,0.0997603613277093,0.0838852592247956,0.840867636287277,0.275143813894066,15.8041487451674,13.8233567749137,74,0,1,0.211337300344504,0.0522103137792597,0.324537995843238,0.325349301397206,0.728112907418203,1.55306242064201,0.0718562874251497,8.85480845937705,4.46720875199077,0.00199600798403194,0.509891692025785,0.143712574850299,0.0164498589028839
"YCL055W","KAR4",74,0.00912238683762714,0.00391233894413684,0.0290802124461391,0.0266638062350924,0.0455206997175057,1.70720936524042,0.227727525891785,10.5515088974156,24.0998991068856,74,0,1,0.124459755715628,0.0381394774855252,-1.09226789534157,0.898203592814371,1.65582492766438,0.245611482521487,0.347305389221557,22.7301376629097,0.678693369422518,0.2375249500998,0.92331466100058,0.449896954059361,0.391506641888637
"YLR273C","PIG1",69,0.0164717155940721,0.0117002702762057,0.0355039430212176,0.0229193506633497,0.032309324725197,1.40969633912285,0.181713481793205,11.3028071746381,10.0024407854483,74,5,0.932432432432432,0.0274350140933292,0.0363900167551847,-0.116117537217391,0.471057884231537,0.961185119792744,3.61718624220433,0.00598802395209581,10.0341034467038,-0.0266889813906466,0.500998003992016,0.636957071771949,0.0216839049174379,0.645490689779471
"YIR036C","IRC24",74,0.0346318944177315,0.0240255590393474,0.0504154554036901,0.0849183852886584,0.0909213257333349,1.07069070407158,0.431080331759244,11.0130375899047,18.1392411624661,74,0,1,0.312057626057,0.0458348471083825,0.630058748529802,0.223552894211577,1.06140361250349,0.0978414556316809,0.421157684630739,14.4711052503212,2.97900707202197,0.00798403193612774,0.432624629283942,0.512247769092858,0.0410362071555813
"YOR230W","WTM1",74,0.061610633449549,0.0561643430663166,0.0630087479996271,0.178408253956495,0.165292414224182,0.926484120317038,0.669018052727247,12.2004398038709,14.7274622985875,74,0,1,0.548073911681804,0.0493063013206459,1.69663660287,0.063872255489022,0.863046205422997,0.82464281305474,0.199600798403194,11.2935702269977,2.95128043428627,0.00598802395209581,0.238522954091816,0.305798659092072,0.0336738288129623
"YFL067W","YFL067W",4,0.00279859638176255,-0.00388862387149136,0.0164810813082317,0,0,NA,0,11.1895440980149,12.9268961246013,74,70,0.0540540540540541,0.000250548073911682,0.00545329164888013,1.40325316345896,0.063872255489022,1.53203858992398,NA,0.00203252032520325,13.5490563461771,-0.703513005095771,0.924151696606786,0.238522954091816,0.0101202574525745,0.979421687598255
