"gene","name","r2_pooled","r2_adj","amp","amp1_db","peak","p_periodic","pct_nonzero","is_spellman","fdr_periodic"
"POL2","POL2",0.167767759786693,0.167507019063523,0.367408783645413,0.343438520451349,23,0,0.269777638584403,FALSE,0
"RTT107","RTT107",0.166748275772514,0.166487215642109,0.288409204484564,0.243629855889703,24,0,0.147510178515503,FALSE,0
"EMP24","EMP24",0.166611979637162,0.166350876804791,0.6201765176084,0.601383191314636,32,0,0.934606952709051,FALSE,0
"ALD6","ALD6",0.166335841297513,0.166074651950216,0.620648388859453,0.554697320365384,65,0,0.929909176323207,FALSE,0
"UTR2","UTR2",0.164584798626688,0.164323060672752,0.655374829138242,0.588768397956469,12,0,0.752896962104604,FALSE,0
"YNR009W","NRM1",0.164450432780176,0.164188652729039,0.504552767167587,0.490954088708652,41,0,0.304290635765738,TRUE,0
"HOF1","HOF1",0.1607898588282,0.160526931908853,0.29313660362633,0.263488316466668,76,0,0.148825555903539,FALSE,0
"CDC9","CDC9",0.160206017158511,0.159942907319912,0.305453508948015,0.28394322494435,22,0,0.190541810209834,FALSE,0
"CDC45","CDC45",0.158555785260519,0.158292158399582,0.276240070809437,0.228848893007125,23,0,0.140494832445976,FALSE,0
"YNL190W","YNL190W",0.157524591405426,0.157260641468527,0.60189201702792,0.56930925746835,73,0,0.937613529595991,FALSE,0
"MCM5","MCM5",0.157299247719234,0.157035227181518,0.288892144719331,0.240385982307085,5,0,0.173066082054494,FALSE,0
"YDL101C","DUN1",0.154219867010041,0.153954881693609,0.366939512135763,0.289089650637899,26,0,0.226683369871594,TRUE,0
"NOP58","NOP58",0.153673810455947,0.153408654058446,0.169022704141013,0.0796850011154078,74,0,0.951017851550266,FALSE,0
"MSH2","MSH2",0.153642657926398,0.153377491768721,0.295991534079379,0.261892281961604,23,0,0.199624177889132,FALSE,0
"YOL109W","ZEO1",0.153074883996293,0.152809539953432,0.371055308394256,0.370706726992626,72,0,0.970372690259944,FALSE,0
"YMR199W","CLN1",0.149795654188489,0.149529282753621,0.313181918385072,0.227527439477459,23,0,0.145255245850298,TRUE,0
"YOR342C","YOR342C",0.147641689144591,0.14737464286636,0.41141459513138,0.403035739254848,12,0,0.508299404948324,TRUE,0
"RPL17A","RPL17A",0.146523288920373,0.146255892244178,0.123626977063478,0.0539306019278872,73,0,0.995051675540244,FALSE,0
"SUN4","SUN4",0.146429621016078,0.146162194993462,0.513954593532705,0.421987271012976,17,0,0.464891951143126,FALSE,0
"YLL022C","HIF1",0.14636860798667,0.146101162848499,0.381764933979931,0.358638278288659,26,0,0.358158471656749,TRUE,0
"CYS4","CYS4",0.145150271869959,0.144882445023624,0.313116797108268,0.290304066909208,6,0,0.925399310992797,FALSE,0
"RPS0B","RPS0B",0.144960900686317,0.144693014509453,0.165523073172829,0.083300242470472,72,0,0.991481365487003,FALSE,0
"YLR449W","FPR4",0.142853985501089,0.142585439221717,0.234612444568758,0.139178417733237,24,0,0.930598183526464,FALSE,0
"FPR3","FPR3",0.142466879542926,0.142198211982159,0.216259225750584,0.129789364312845,26,0,0.963419981208894,FALSE,0
"YML012W","ERV25",0.141955948916997,0.141687121280214,0.558122671280999,0.52995599243789,30,0,0.91988725336674,TRUE,0
"YPL232W","SSO1",0.140877499687809,0.140608334169822,0.472663195063197,0.456251710478193,17,0,0.649796429689947,TRUE,0
"YML085C","TUB1",0.140729940940803,0.140460729192242,0.579147260384755,0.569294714945714,59,0,0.687065455684309,FALSE,0
"EXG1","EXG1",0.139599765462883,0.139330199627136,0.818474094454195,0.583127473615264,14,0,0.706107109301597,FALSE,0
"YPL241C","CIN2",0.139376874063653,0.139107238395398,0.327347167009354,0.29885946567474,27,0,0.239022862511744,TRUE,0
"GRS1","GRS1",0.139324069089866,0.139054416877662,0.120791683424738,0.0305571824256665,72,0,0.961979329783902,FALSE,0
"YIL106W","MOB1",0.139263941591603,0.138994270541284,0.351083122942356,0.330422650013259,75,0,0.26595678045725,TRUE,0
"GSP1","GSP1",0.13920776132429,0.138938072672534,0.166207663365887,0.0834871223975828,73,0,0.989226432821798,FALSE,0
"YNL233W","BNI4",0.139119208745447,0.138849492349916,0.322405593160924,0.295088427047675,21,0,0.260444722831193,TRUE,0
"CAR2","CAR2",0.138780447180873,0.138510624650383,0.668183911786212,0.636846159739544,62,0,0.640087691825869,FALSE,0
"RPL6B","RPL6B",0.137812971656914,0.137542846013596,0.106363987539528,0.00948828251758615,30,0,0.993485750078296,FALSE,0
"YHR023W","MYO1",0.137671679499731,0.137401509589179,0.366825226248249,0.353516405388983,74,0,0.28343250861259,TRUE,0
