"name","gene","mean_r2","mean_peak","sd_peak","peak_trim_excess","peak_robustness","n_early","n_late","sd_peak_p_fdr","which_phenotype","early_strains","late_strains"
"SFG1","YOR315W",0.20278726959591,66.4510762733989,6.6609548389284,0.93531797450834,0.723619978900117,6,2,0.0410362071555813,"structure amplitude timing","CDH,SACE_YCK,ATS,BHQ,APQ","BDL,AMP"
"CLN2","YPL256C",0.351646918763715,23.913051445104,2.52047600150875,0.929889486725625,0.551483132221037,0,1,0.0336738288129623,"structure amplitude timing",NA,"BDL"
"CSI2","YOL007C",0.370783400731813,25.5446894747599,3.03836332704844,0.924828191052086,0.464065632785832,0,1,0.0336738288129623,"amplitude timing",NA,"AAP"
"NDL1","YLR254C",0.18763167119159,82.8414701443364,5.82121266093124,0.922889267877563,0.611556424298454,2,4,0.0336738288129623,"amplitude timing","AAP,BGD","CBN,SACE_YCE,APQ,CLP"
"SSO1","YPL232W",0.152272840537075,15.7073825124774,8.95984232255378,0.917645720322178,0.562509899009414,7,5,0.0164498589028839,"amplitude timing","CLN,CNH,CBN,AFE,SACE_YCE","BNV,CDH,SACE_YCM,BDP,CDT"
"CLB5","YPR120C",0.16591426219162,21.6511582010593,6.5643112858352,0.903191450589632,0.470727219574086,1,5,0.0164498589028839,"timing","CDH","BGD,APQ,SACE_YCK,CEG,AAP"
"SCW11","YGL028C",0.251543343506267,12.6232291928537,6.43840550865761,0.883074435213584,0.301316839610571,2,2,0.0164498589028839,"amplitude timing","BDL,AFE","CNH,AAP"
"CLB6","YGR109C",0.221704772736269,21.1646989923329,4.00647046119637,0.863346672176023,0.474232873648254,0,2,0.0336738288129623,"amplitude timing",NA,"AAP,BDL"
"POL12","YBL035C",0.23374445131283,20.7612739777567,5.02998141448645,0.844210345993937,0.451293914021701,2,2,0.0164498589028839,"amplitude timing","CNH,AAP","APQ,CBN"
"BUD9","YGR041W",0.169087051517282,14.2847087278472,6.95366354528034,0.838371468348109,0.379655987496238,4,2,0.0164498589028839,"amplitude timing","APQ,CLN,CBN,SACE_YCE","AFE,CDH"
"CHS2","YBR038W",0.251239274402125,76.4007929385858,5.22321672211505,0.830167068602984,0.553298887209441,4,1,0.0336738288129623,"amplitude timing","SACE_YCE,AAP,CBN,CEG","BDL"
"SPT21","YMR179W",0.207353438087325,19.3002013497644,5.92433662881309,0.818277913109824,0.405108647663194,2,2,0.0164498589028839,"amplitude timing","BDL,AAP","BGD,CNH"
"MLO50","YLR049C",0.205130171067005,12.9210849213881,6.04461180114738,0.809125336325251,0.459913736639349,1,3,0.0164498589028839,"amplitude timing","APQ","CNH,CBN,CLP"
"ERP5","YHR110W",0.306677958341065,26.3181426963425,3.62439550245736,0.769882432189903,0.546297996081705,2,1,0.0410362071555813,"structure amplitude timing","SACE_YCM,BGD","BDL"
"GSR1","YMR295C",0.191573035016647,41.2658293930335,9.09081256209243,0.764442947218585,0.562105968536638,3,8,0.0265025504546463,"amplitude timing","BHM,CNH,AMP","AAP,BRK,BDB,SACE_YCM,APQ"
"TOS4","YLR183C",0.312157615466836,26.1549636707786,4.41730170279698,0.762281646141505,0.319199387967366,1,1,0.0164498589028839,"amplitude timing","AAP","APQ"
"SCW4","YGR279C",0.322610046597473,71.6794229609109,6.04686708971612,0.728265136893807,0.383669752547664,4,1,0.0164498589028839,"structure amplitude timing","BHM,BRK,CLN,CDH","BDL"
"SRL1","YOR247W",0.423915810258285,36.0312170225747,6.99984149000616,0.702437858969299,0.320007246335235,0,5,0.0164498589028839,"amplitude timing",NA,"AFE,AKI,AAP,BFH,APQ"
"SCW10","YMR305C",0.389430624112043,29.6666976309243,3.58027321405696,0.686246112030029,0.368686946799865,0,1,0.0265025504546463,"structure amplitude timing",NA,"APQ"
"MSA2","YKR077W",0.209031622571215,14.0909688432681,5.58194508663099,0.656886520689174,0.327842709234624,4,2,0.0164498589028839,"structure amplitude timing","AFE,AAP,SACE_YCK,CNH","BDL,APQ"
"MNN1","YER001W",0.209190136833395,27.9064657900813,5.81088970759616,0.645961314262037,0.363111348894085,1,2,0.0164498589028839,"amplitude timing","AFE","BGD,APQ"
"TOF1","YNL273W",0.169741622546945,21.5776263948925,5.8985603061249,0.64285138353754,0.384839669714472,2,3,0.0164498589028839,"timing","BGD,AAP","APQ,CDH,BNC"
