"gene","strain","r2","amp","peak","reason","n_cells","pct_expressed","fit_status"
"YAL067C","CCQ",0.0221869932067121,0.0319640976809106,12.0098645470359,0,295,0.0135593220338983,"ok"
"YAL067C","CCR",0.0335931178636785,0.0534632015844257,35.4871800162575,0,458,0.0109170305676856,"ok"
"YAL067C","CCS",0.0148216540082244,0.023273046138281,36.0547755848278,0,396,0.00757575757575758,"ok"
"YAL067C","CCV",NA,NA,NA,2,382,0,"constant_expression"
"YAL067C","CDE",NA,NA,NA,2,300,0,"constant_expression"
"YAL067C","CDF",NA,NA,NA,2,19,0,"constant_expression"
"YAL067C","CDH",NA,NA,NA,2,36,0,"constant_expression"
"YAL067C","CDI",NA,NA,NA,1,8,0,"too_few_timepoints"
"YAL067C","CDL",0.0182687240645178,0.0189039240302337,29.573694489219,0,392,0.0127551020408163,"ok"
"YAL067C","CDT",0.0875329989246689,0.133564409965106,15.5331240567294,0,124,0.00806451612903226,"ok"
"YAL067C","CEG",NA,NA,NA,2,127,0,"constant_expression"
"YAL067C","CFF",0.0572321048796026,0.054082619039075,34.8086553920399,0,134,0.0149253731343284,"ok"
"YAL067C","CGL",0.0622088445963266,0.0943666453213031,12.6565115560185,0,212,0.0141509433962264,"ok"
"YAL067C","CGN",0.0138916619693978,0.0260321291148337,48.2251095338301,0,370,0.0135135135135135,"ok"
"YAL067C","CGS",NA,NA,NA,2,275,0,"constant_expression"
"YAL067C","CLB",NA,NA,NA,2,329,0,"constant_expression"
"YAL067C","CLI",NA,NA,NA,2,279,0,"constant_expression"
"YAL067C","CLN",NA,NA,NA,2,91,0,"constant_expression"
"YAL067C","CLP",NA,NA,NA,2,176,0,"constant_expression"
"YAL067C","CMI",NA,NA,NA,2,312,0,"constant_expression"
"YAL067C","CNH",NA,NA,NA,2,38,0,"constant_expression"
"YAL067C","CNK",NA,NA,NA,1,2,0,"too_few_timepoints"
"YAL067C","CPI",0.0325955148296183,0.0680501385855588,10.3830868114125,0,308,0.025974025974026,"ok"
"YAL067C","CPK",0.0304640632708444,0.0787987765265784,61.7271806543524,0,351,0.0142450142450142,"ok"
"YAL067C","CPN",0.0321991788966186,0.0581988499537665,36.043323170055,0,315,0.0158730158730159,"ok"
"YAL067C","CQD",NA,NA,NA,2,394,0,"constant_expression"
"YAL067C","CQF",0.0191979641372361,0.031480164294891,40.1482912410389,0,386,0.00259067357512953,"ok"
"YAL067C","SACE_YAG",NA,NA,NA,1,8,0.125,"too_few_timepoints"
"YAL067C","SACE_YCE",NA,NA,NA,2,63,0,"constant_expression"
"YAL067C","SACE_YCK",NA,NA,NA,2,58,0,"constant_expression"
"YAL067C","SACE_YCM",NA,NA,NA,2,50,0,"constant_expression"
"YAL067C","SACE_YCR",0.088119427881895,0.04859345357507,6.04835844039917,0,352,0.00284090909090909,"ok"
"YAL067C","SACE_YCU",NA,NA,NA,2,162,0,"constant_expression"
"YAL067C","SACE_YDE",NA,NA,NA,2,10,0,"constant_expression"
"YAR071W","AAP",0.331504560056189,0.0812917012959238,48.1384113376791,0,35,0.0285714285714286,"ok"
"YAR071W","AFE",0.272660365849821,0.10850994615357,22.7634486826983,0,55,0.0727272727272727,"ok"
"YAR071W","AKH",NA,NA,NA,2,166,0,"constant_expression"
