"gene","n_strains_fit","mean_r2","sd_r2","median_r2","mean_amp","sd_amp","cv_amp","mean_peak","sd_peak","n_strains_total","n_not_detected","n_too_few_cells","pct_strains_detected","mean_pct_expressed","sd_r2_null_mean","sd_r2_null_sd","cv_amp_null_mean","cv_amp_null_sd","sd_peak_null_mean","sd_peak_null_sd","sd_z","cv_amp_z","sd_peak_z"
"YBR204C",78,0.150265822739382,0.190150714663435,0.0688132944723692,0.250928362681203,0.242969117360816,0.968280806380987,12.3483625150275,23.0638205268093,84,1,5,0.988095238095238,0.108171260092471,0.162275777824708,0.023762548708686,1.02040098137644,0.456622585918766,21.2993245171099,1.87696469765437,1.17306174436321,-0.114142787945068,0.940079486792974
"YDR077W",79,0.431925372335032,0.155313719998121,0.42176441751767,2.108174668651,0.566666454527813,0.268794831355419,0.184641713845785,8.49094822934977,84,0,5,1,0.738881968267524,0.141774254284669,0.0116928591009061,0.315138256129397,0.104050799495129,6.97940918443139,1.46853693773431,1.15792601250135,-0.445392298750647,1.02928227821795
"YGR188C",76,0.147692062658078,0.18480957619795,0.0826956130095726,0.258956485506848,0.358764889939554,1.38542539005098,30.2924995846406,12.29249572778,84,3,5,0.964285714285714,0.100429864301341,0.159625197594678,0.0223721633711253,0.807179271281754,0.225969152755837,13.5978828836756,1.02790767150911,1.12570153299415,2.55896042321327,-1.26994592226271
"YLR034C",79,0.161060957000029,0.192496297004185,0.0738692474000329,0.504447205803962,0.36969279791535,0.732867173535342,79.8570396484168,17.6916020545523,84,0,5,1,0.31070968281356,0.174376068584446,0.0161805018535598,0.730479140791438,0.22728625674866,17.9192430094485,1.55758234019989,1.11988049466788,0.0105067186114325,-0.146150189958528
"YLR190W",79,0.513414937522804,0.136445661647159,0.50374848064325,1.31663855330217,0.389726020361855,0.296000766029834,77.1762886257551,9.05025438575106,84,0,5,1,0.454076696501732,0.121998502147525,0.0129141010086558,0.31085251131231,0.137464189286641,6.54609304479089,0.857239070093882,1.11871197925051,-0.108040831285207,2.92119366501334
"YJL044C",79,0.185524611828672,0.188501061305376,0.110475233705305,0.6250525952704,0.539147699039029,0.862563731626123,0.805798678455691,13.8803421247329,84,0,5,1,0.370280854081026,0.171068011717669,0.0156546822077625,0.619631459926071,0.166720498748783,12.3846966193847,1.01819045823836,1.11359971134148,1.45712299041347,1.46892508493541
"YGR238C",79,0.145602804951973,0.183654043275606,0.0782360001026881,0.25167505882452,0.163650668534788,0.6502458737832,14.1490432901593,16.614253615108,84,0,5,1,0.12568961684304,0.165044272324542,0.0170449834836651,0.826806044557047,0.331352039539535,17.2754626325982,1.28067186862291,1.09180340179848,-0.532847695819843,-0.516298541172156
"YHR159W",75,0.141275604837021,0.180345906869962,0.0640502055192589,0.194450723530987,0.196298556718891,1.00950283523943,17.2747462040987,18.8954426513984,84,4,5,0.952380952380952,0.0689095192959645,0.15402443097159,0.0242519599881674,0.848635811600316,0.305583139976901,17.6589140570591,1.40275933282988,1.08533396522239,0.526426371727437,0.881497321315106
"YDL117W",79,0.408057342764388,0.166246008608277,0.386051378885011,1.08292705630123,0.60828008422759,0.561699960018721,3.51081224690246,5.88288122287375,84,0,5,1,0.289202199181982,0.153551734612851,0.0119101327507856,0.327961210413265,0.0654512596676866,4.82853410585859,1.02477469037024,1.06583816159301,3.57118794645374,1.02885749123473
"YLR326W",79,0.177487518454395,0.19252006945113,0.106981962096328,0.354884612655788,0.251467830076506,0.708590401242363,30.7596258853475,12.8510985214947,84,0,5,1,0.180153986017605,0.167101470455668,0.0240790305106719,0.78042746758762,0.318340655916831,12.2744252220547,1.33368635713658,1.05563216028139,-0.2256609861482,0.432390491478166
