"gene","strain","value","stat"
"YKR103W","BAF",0.0409339742443019,"r2_adj"
"YKR103W","BAG",-0.00169326439777007,"r2_adj"
"YKR103W","BAI",-0.00648677233929185,"r2_adj"
"YKR103W","BAK",-0.00487574130335511,"r2_adj"
"YKR103W","BAL",0.00740804353846947,"r2_adj"
"YKR103W","BAM",0.00757207510747571,"r2_adj"
"YKR103W","BAN",0.0174613892621359,"r2_adj"
"YKR103W","BAP",-0.00642583884820924,"r2_adj"
"YKR103W","BBQ",-0.00746421577640333,"r2_adj"
"YKR103W","BCK",0.00702667910778398,"r2_adj"
"YKR103W","BDB",NA,"r2_adj"
"YKR103W","BDL",NA,"r2_adj"
"YKR103W","BDP",-0.00579297643372589,"r2_adj"
"YKR103W","BEF",0.00212173648680547,"r2_adj"
"YKR103W","BFH",NA,"r2_adj"
"YKR103W","BFP",-0.00348932645451039,"r2_adj"
"YKR103W","BGD",NA,"r2_adj"
"YKR103W","BGF",NA,"r2_adj"
"YKR103W","BHG",NA,"r2_adj"
"YKR103W","BHK",-0.00890106463080786,"r2_adj"
"YKR103W","BHM",NA,"r2_adj"
"YKR103W","BHQ",-0.00271897343866678,"r2_adj"
"YKR103W","BMA",-0.00138156354694274,"r2_adj"
"YKR103W","BMB",-0.00368658365773467,"r2_adj"
"YKR103W","BMC",0.0109916169262327,"r2_adj"
"YKR103W","BNC",-0.00752825126359458,"r2_adj"
"YKR103W","BNV",-0.0039612810505687,"r2_adj"
"YKR103W","BQM",0.0460960046380547,"r2_adj"
"YKR103W","BRK",0.0791347082971083,"r2_adj"
"YKR103W","BVG",-0.0296142446768175,"r2_adj"
"YKR103W","CAE",-0.0191941043158474,"r2_adj"
"YKR103W","CBN",NA,"r2_adj"
"YKR103W","CCD",0.00984324267613756,"r2_adj"
"YKR103W","CCG",0.0102825553287239,"r2_adj"
"YKR103W","CCN",NA,"r2_adj"
"YKR103W","CCQ",-0.0079829920687482,"r2_adj"
"YKR103W","CCR",0.00394983307627728,"r2_adj"
"YKR103W","CCS",-0.0111623527841649,"r2_adj"
"YKR103W","CCV",0.00538500489004401,"r2_adj"
"YKR103W","CDE",-0.000137857641243855,"r2_adj"
"YKR103W","CDH",0.145303595117516,"r2_adj"
"YKR103W","CDL",0.00865769515024017,"r2_adj"
"YKR103W","CDT",-0.0104859385485583,"r2_adj"
"YKR103W","CEG",NA,"r2_adj"
"YKR103W","CFF",NA,"r2_adj"
"YKR103W","CGL",NA,"r2_adj"
"YKR103W","CGN",-0.00859138617787414,"r2_adj"
"YKR103W","CGS",NA,"r2_adj"
"YKR103W","CLB",-0.000677628136823261,"r2_adj"
"YKR103W","CLI",0.000966730403562543,"r2_adj"
"YKR103W","CLN",-0.00646003405001983,"r2_adj"
"YKR103W","CLP",-0.0225941911659595,"r2_adj"
"YKR103W","CMI",-0.0117117778459885,"r2_adj"
"YKR103W","CNH",0.0212229508900114,"r2_adj"
"YKR103W","CPI",-0.00118464285713182,"r2_adj"
"YKR103W","CPK",-0.00227041913408121,"r2_adj"
"YKR103W","CPN",-0.00671036566841132,"r2_adj"
"YKR103W","CQD",-0.00238980273265055,"r2_adj"
"YKR103W","CQF",-0.00480160977662814,"r2_adj"
"YKR103W","SACE_YCE",-0.00643760637098301,"r2_adj"
"YKR103W","SACE_YCK",0.0267513304821744,"r2_adj"
"YKR103W","SACE_YCM",-0.0199378573742299,"r2_adj"
"YKR103W","SACE_YCR",0.000733544889904514,"r2_adj"
"YKR103W","SACE_YCU",-0.00383385572042849,"r2_adj"
"YJL194W","AAP",0.372684800582648,"r2_adj"
"YJL194W","AFE",-0.0552482936253056,"r2_adj"
"YJL194W","AKH",0.408835337407371,"r2_adj"
"YJL194W","AKI",0.0640009238773273,"r2_adj"
"YJL194W","AKM",0.3183094449628,"r2_adj"
"YJL194W","AMP",0.0618015700488448,"r2_adj"
"YJL194W","ANG",0.254742870977175,"r2_adj"
"YJL194W","ANN",0.220976086172717,"r2_adj"
"YJL194W","APQ",0.157911628997245,"r2_adj"
"YJL194W","ATS",0.236830625552311,"r2_adj"
"YJL194W","BAF",0.164533096225289,"r2_adj"
"YJL194W","BAG",0.0360647834993365,"r2_adj"
"YJL194W","BAI",0.313793601810939,"r2_adj"
"YJL194W","BAK",0.161210442262391,"r2_adj"
"YJL194W","BAL",0.26837133935707,"r2_adj"
"YJL194W","BAM",0.224154217540626,"r2_adj"
"YJL194W","BAN",0.303603288644117,"r2_adj"
"YJL194W","BAP",0.260327215325878,"r2_adj"
"YJL194W","BBQ",0.173054797403371,"r2_adj"
"YJL194W","BCK",0.155890804208344,"r2_adj"
"YJL194W","BDB",0.0679278759651366,"r2_adj"
"YJL194W","BDL",0.0190764799472091,"r2_adj"
"YJL194W","BDP",0.0316322601427054,"r2_adj"
"YJL194W","BEF",0.224846653063299,"r2_adj"
"YJL194W","BFH",0.190381461255124,"r2_adj"
"YJL194W","BFP",0.189244958923407,"r2_adj"
"YJL194W","BGD",0.0339508187351352,"r2_adj"
"YJL194W","BGF",0.0634893148563448,"r2_adj"
"YJL194W","BHG",0.123384406818706,"r2_adj"
"YJL194W","BHK",0.0882755450178663,"r2_adj"
"YJL194W","BHM",0.0810228167712511,"r2_adj"
"YJL194W","BHQ",0.178951336466894,"r2_adj"
"YJL194W","BMA",0.23578699161456,"r2_adj"
"YJL194W","BMB",0.197522158196859,"r2_adj"
"YJL194W","BMC",0.180841770754183,"r2_adj"
"YJL194W","BNC",0.0869256810757685,"r2_adj"
"YJL194W","BNV",0.115715612941757,"r2_adj"
"YJL194W","BQM",0.240324688294622,"r2_adj"
"YJL194W","BRK",-0.0574666611365939,"r2_adj"
"YJL194W","BVG",0.04253192999749,"r2_adj"
"YJL194W","CAE",0.114320472871843,"r2_adj"
"YJL194W","CBN",0.151821847677755,"r2_adj"
"YJL194W","CCD",0.265176287936893,"r2_adj"
"YJL194W","CCG",0.207040482213512,"r2_adj"
"YJL194W","CCN",0.354452648369052,"r2_adj"
"YJL194W","CCQ",0.102048357058895,"r2_adj"
"YJL194W","CCR",0.12736825962732,"r2_adj"
"YJL194W","CCS",0.272102772388473,"r2_adj"
"YJL194W","CCV",0.183391769097691,"r2_adj"
"YJL194W","CDE",0.160732981312522,"r2_adj"
"YJL194W","CDH",0.126755702804685,"r2_adj"
"YJL194W","CDL",0.208852949438692,"r2_adj"
"YJL194W","CDT",0.110988259855906,"r2_adj"
"YJL194W","CEG",0.0693802444051347,"r2_adj"
"YJL194W","CFF",0.143367934824475,"r2_adj"
"YJL194W","CGL",0.0549119339137277,"r2_adj"
"YJL194W","CGN",0.359564347545328,"r2_adj"
"YJL194W","CGS",0.0891266267965629,"r2_adj"
"YJL194W","CLB",0.193981053642998,"r2_adj"
"YJL194W","CLI",0.343689475101998,"r2_adj"
"YJL194W","CLN",0.310202114018925,"r2_adj"
"YJL194W","CLP",0.102279584107972,"r2_adj"
"YJL194W","CMI",0.230922375557427,"r2_adj"
"YJL194W","CNH",-0.00465181738522258,"r2_adj"
"YJL194W","CPI",0.147322277490333,"r2_adj"
"YJL194W","CPK",0.103002750979901,"r2_adj"
"YJL194W","CPN",0.179894851577017,"r2_adj"
"YJL194W","CQD",0.120302144487605,"r2_adj"
"YJL194W","CQF",0.0895554877594595,"r2_adj"
"YJL194W","SACE_YCE",0.252248709672279,"r2_adj"
"YJL194W","SACE_YCK",0.102458495732027,"r2_adj"
"YJL194W","SACE_YCM",0.0781437729473132,"r2_adj"
