"condition","gene","r","cor_category"
"YPD","YDR071C",0.209542356377799,"low (<0.4)"
"YPD","IPT1",0.526801363193768,"moderate (0.4–0.7)"
"YPD","YDR073W",0.608909444985394,"moderate (0.4–0.7)"
"YPD","TPS2",0.156450827653359,"low (<0.4)"
"YPD","YDR075W",0.422186518784262,"moderate (0.4–0.7)"
"YPD","YDR076W",-0.043849856375366,"low (<0.4)"
"YPD","YDR077W",0.855038948393379,"high (≥0.7)"
"YPD","YDR078C",0.142422399107539,"low (<0.4)"
"YPD","YDR079W",0.475754625121714,"moderate (0.4–0.7)"
"YPD","YDR079C-A",0.538348245169624,"moderate (0.4–0.7)"
"YPD","VPS41",0.220631733108994,"low (<0.4)"
"YPD","YDR081C",0.206334136724639,"low (<0.4)"
"YPD","YDR082W",0.127600257969945,"low (<0.4)"
"YPD","YDR083W",-0.14873417721519,"low (<0.4)"
"YPD","YDR084C",0.390652385589094,"low (<0.4)"
"YPD","YDR085C",0.409214790598288,"moderate (0.4–0.7)"
"YPD","YDR086C",0.454406037000974,"moderate (0.4–0.7)"
"YPD","YDR087C",0.450925024342746,"moderate (0.4–0.7)"
"YPD","SLU7",-0.052388033837662,"low (<0.4)"
"YPD","YDR089W",0.762102982627201,"high (≥0.7)"
"YPD","YDR090C",0.373378125186705,"low (<0.4)"
"YPD","YDR091C",0.414021421616358,"moderate (0.4–0.7)"
"YPD","YDR092W",0.575340798442064,"moderate (0.4–0.7)"
"YPD","YDR093W",0.287122687439143,"low (<0.4)"
"YPD","YDR096W",0.0590626906384428,"low (<0.4)"
"YPD","MSH6",0.121226874391431,"low (<0.4)"
"YPD","YDR098C",0.54031158714703,"moderate (0.4–0.7)"
"YPD","BMH2",0.348466407010711,"low (<0.4)"
"YPD","YDR100W",0.439738065808621,"moderate (0.4–0.7)"
"YPD","YDR101C",0.162487828627069,"low (<0.4)"
"YPD","STE5",0.23036653976437,"low (<0.4)"
"YPD","YDR104C",0.332598931484162,"low (<0.4)"
"YPD","YDR105C",0.00182570593962999,"low (<0.4)"
"YPD","YDR106W",0.187958734513027,"low (<0.4)"
"YPD","YDR107C",0.382764505119454,"low (<0.4)"
"YPD","TRS85",0.00175289106593895,"low (<0.4)"
"YPD","YDR109C",0.0697052935952227,"low (<0.4)"
"YPD","FOB1",0.142909313292522,"low (<0.4)"
"YPD","YDR111C",0.692699521659222,"moderate (0.4–0.7)"
"YPD","YDR113C",0.391709538061306,"low (<0.4)"
"YPD","YDR115W",0.722663096397274,"high (≥0.7)"
"YPD","YDR116C",0.542283349561831,"moderate (0.4–0.7)"
"YPD","TMA64",0.254284323271665,"low (<0.4)"
"YPD","YDR118W",-0.0126381929128674,"low (<0.4)"
"YPD","YDR119W",0.181280428432327,"low (<0.4)"
"YPD","YDR119W-A",0.390163064786677,"low (<0.4)"
"YPD","YDR120C",0.151342535160108,"low (<0.4)"
"YPD","YDR121W",0.208495618305745,"low (<0.4)"
"YPD","YDR122W",0.190151561615866,"low (<0.4)"
"YPD","INO2",0.130607574948378,"low (<0.4)"
"YPD","YDR124W",0.358535461505137,"low (<0.4)"
"YPD","YDR125C",0.0959919022177169,"low (<0.4)"
"YPD","SWF1",0.256028004791,"low (<0.4)"
"YPD","YDR127W",0.531426484907498,"moderate (0.4–0.7)"
"YPD","MTC5",0.530368314867827,"moderate (0.4–0.7)"
"YPD","SAC6",0.545910418695229,"moderate (0.4–0.7)"
"YPD","YDR130C",0.125989812101189,"low (<0.4)"
"YPD","YDR131C",0.18468223365113,"low (<0.4)"
"YPD","YDR132C",0.243440171846876,"low (<0.4)"
"YPD","YDR135C",0.411075949367089,"moderate (0.4–0.7)"
"YPD","YDR137W",0.304973344134766,"low (<0.4)"
"YPD","HPR1",0.0404418085483207,"low (<0.4)"
"YPD","YDR139C",0.382877208364006,"low (<0.4)"
"YPD","YDR140W",0.278748782862707,"low (<0.4)"
"YPD","YDR141C",0.327069133398247,"low (<0.4)"
"YPD","PEX7",-0.0425780537578761,"low (<0.4)"
"YPD","YDR143C",0.34929406037001,"low (<0.4)"
"YPD","MKC7",0.51643135345667,"moderate (0.4–0.7)"
"YPD","TAF12",-0.030111976630964,"low (<0.4)"
"YPD","YDR146C",0.217967539902476,"low (<0.4)"
"YPD","YDR147W",0.180116361211137,"low (<0.4)"
"YPD","YDR148C",0.587609542356378,"moderate (0.4–0.7)"
"YPD","NUM1",0.361587147030185,"low (<0.4)"
"YPD","YDR151C",0.303470688118376,"low (<0.4)"
"YPD","YDR152W",0.518914313534567,"moderate (0.4–0.7)"
"YPD","YDR153C",-0.0252434274586173,"low (<0.4)"
"YPD","CPR1",0.897541382667965,"high (≥0.7)"
"YPD","RPA14",0.669571567672834,"moderate (0.4–0.7)"
"YPD","YDR158W",0.781158714703019,"high (≥0.7)"
"YPD","SAC3",0.275759236101968,"low (<0.4)"
"YPD","SSY1",0.173731471214095,"low (<0.4)"
"YPD","YDR161W",0.457083739045764,"moderate (0.4–0.7)"
